faturamento, source:jb_faturamento.PROD.FATURAMENTO_OPERACOES,
faturamento, source:jb_faturamento.PROD.INT_ULTIMA_EXECUCAO,
faturamento, source:jb_faturamento.RAW.DBERCHZ1,
faturamento, source:jb_faturamento.RAW.DBERCHZ2,
faturamento, source:jb_faturamento.RAW.DBERCHZ3,
faturamento, source:jb_faturamento.RAW.DBERCHZ5,
faturamento, source:jb_faturamento.RAW.DBERCHZ7,
faturamento, source:jb_faturamento.RAW.DBERDL,
faturamento, source:jb_faturamento.RAW.DBERDLB,
faturamento, source:jb_faturamento.RAW.EGERH,
faturamento, source:jb_faturamento.RAW.ERCH,
faturamento, source:jb_faturamento.RAW.ERCHC,
faturamento, source:jb_faturamento.RAW.ERDK,
faturamento, source:jb_faturamento.RAW.ETDZ,
faturamento, source:jb_faturamento.RAW.ETTIFN,
faturamento, source:jb_faturamento.RAW.EVER,
faturamento, source:jb_faturamento.RAW.EZUZ,
faturamento, source:jb_faturamento.RAW.TE835T,
faturamento, source:jb_faturamento.RAW.ZFATT057_OPHIST,
itens_faturamento, source:jb_faturamento.PROD.INT_ULTIMA_EXECUCAO,
itens_faturamento, source:jb_faturamento.RAW.DBERCHZ1,
itens_faturamento, source:jb_faturamento.RAW.DBERCHZ3,
itens_faturamento, source:jb_faturamento.RAW.DBERCHZ5,
itens_faturamento, source:jb_faturamento.RAW.DBERCHZ7,
itens_faturamento, source:jb_faturamento.RAW.DBERDL,
itens_faturamento, source:jb_faturamento.RAW.DBERDLB,
itens_faturamento, source:jb_faturamento.RAW.ERCH,
itens_faturamento, source:jb_faturamento.RAW.ERCHC,
itens_faturamento, source:jb_faturamento.RAW.ERDK,
itens_faturamento, source:jb_faturamento.RAW.ZFATT057_OPHIST,
rel_faturamento_leitura, source:jb_faturamento.PROD.FATURAMENTO_OPERACOES,
rel_faturamento_leitura, source:jb_faturamento.PROD.INT_ULTIMA_EXECUCAO,
rel_faturamento_leitura, source:jb_faturamento.RAW.DBERCHZ1,
rel_faturamento_leitura, source:jb_faturamento.RAW.DBERCHZ2,
rel_faturamento_leitura, source:jb_faturamento.RAW.DBERCHZ3,
rel_faturamento_leitura, source:jb_faturamento.RAW.DBERCHZ5,
rel_faturamento_leitura, source:jb_faturamento.RAW.DBERCHZ7,
rel_faturamento_leitura, source:jb_faturamento.RAW.DBERDL,
rel_faturamento_leitura, source:jb_faturamento.RAW.DBERDLB,
rel_faturamento_leitura, source:jb_faturamento.RAW.EGERH,
rel_faturamento_leitura, source:jb_faturamento.RAW.ERCH,
rel_faturamento_leitura, source:jb_faturamento.RAW.ERCHC,
rel_faturamento_leitura, source:jb_faturamento.RAW.ERDK,
rel_faturamento_leitura, source:jb_faturamento.RAW.ETDZ,
rel_faturamento_leitura, source:jb_faturamento.RAW.ETTIFN,
rel_faturamento_leitura, source:jb_faturamento.RAW.EVER,
rel_faturamento_leitura, source:jb_faturamento.RAW.EZUZ,
rel_faturamento_leitura, source:jb_faturamento.RAW.TE835T,
rel_faturamento_leitura, source:jb_faturamento.RAW.ZFATT057_OPHIST,
fat_irreg_leit, source:jb_faturamento.RAW.ZCFAT_IRREG_CAB,
artigo_113, source:jb_faturamento.RAW.ZCFAT_IRREG_INF,
